2024-10-17 at 14:07 | INFO | Бот успешно запущен.
2024-10-17 at 14:07 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 550465701}
2024-10-17 at 14:07 | INFO | Запись не найдена по фильтрам: {'tg_id': 550465701}
2024-10-17 at 14:07 | INFO | Добавление записи User с параметрами: {'tg_id': 550465701, 'username': 'PlasticOX', 'first_name': 'Plastic', 'last_name': 'OX'}
2024-10-17 at 14:07 | INFO | Запись User успешно добавлена.
2024-10-17 at 14:10 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 577910537}
2024-10-17 at 14:10 | INFO | Запись не найдена по фильтрам: {'tg_id': 577910537}
2024-10-17 at 14:10 | INFO | Добавление записи User с параметрами: {'tg_id': 577910537, 'username': 'CHIIIVAS', 'first_name': 'Данил', 'last_name': None}
2024-10-17 at 14:10 | INFO | Запись User успешно добавлена.
2024-10-17 at 14:10 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 577910537}
2024-10-17 at 14:10 | INFO | Запись найдена по фильтрам: {'tg_id': 577910537}
2024-10-17 at 14:11 | INFO | Бот остановлен.
2024-10-17 at 14:13 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 577910537}
2024-10-17 at 14:13 | INFO | Запись найдена по фильтрам: {'tg_id': 577910537}
2024-10-17 at 14:13 | INFO | Поиск одной записи Student по фильтрам: {'id': 577910537}
2024-10-17 at 14:13 | INFO | Запись не найдена по фильтрам: {'id': 577910537}
2024-10-17 at 14:13 | INFO | Поиск одной записи NonStudent по фильтрам: {'id': 577910537}
2024-10-17 at 14:13 | INFO | Запись не найдена по фильтрам: {'id': 577910537}
2024-10-17 at 14:13 | INFO | Добавление записи NonStudent с параметрами: {'id': 577910537, 'passport': '2321 234123'}
2024-10-17 at 14:13 | INFO | Запись NonStudent успешно добавлена.
2024-10-17 at 14:13 | INFO | Поиск одной записи NonStudent по фильтрам: {'id': 577910537}
2024-10-17 at 14:13 | INFO | Запись найдена по фильтрам: {'id': 577910537}
2024-10-17 at 14:16 | INFO | Поиск одной записи User по фильтрам: {'tg_id': 577910537}
2024-10-17 at 14:16 | INFO | Запись найдена по фильтрам: {'tg_id': 577910537}
